epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1592,1.53527,3.28664,1.625,0.00347,1,0.63528,0.12782,1.34765,4.07541,2.01214,4.287e-05,4.287e-05,4.287e-05
2,22.2367,1.13746,3.13991,1.3374,0.00421,1,0.61929,0.39978,0.8138,3.92262,1.34697,9.80494e-05,9.80494e-05,9.80494e-05
3,31.9537,0.81071,3.04995,1.11941,0.00878,1,0.63005,0.47309,0.80537,3.76873,1.19073,0.000150965,0.000150965,0.000150965
4,41.7372,0.85087,2.6675,1.09941,0.01696,1,0.58056,0.43229,0.89103,3.78005,1.2635,0.000201618,0.000201618,0.000201618
5,50.9154,0.74311,2.57561,1.05052,0.02206,1,0.77361,0.62849,0.80401,3.74754,1.16598,0.000250006,0.000250006,0.000250006
6,59.94,0.6843,2.28689,1.0292,0.02536,1,0.82944,0.7061,0.68578,3.6972,1.06554,0.000296132,0.000296132,0.000296132
7,69.208,0.71029,2.17359,1.05115,0.05498,1,0.71833,0.60303,0.57575,3.67723,1.02066,0.000339993,0.000339993,0.000339993
8,78.0436,0.66759,1.78443,0.99469,0.04149,1,0.74625,0.60826,0.63115,3.65962,1.04113,0.000381592,0.000381592,0.000381592
9,86.9336,0.70032,1.84299,1.05913,0.02879,1,0.82917,0.67506,0.7906,3.59029,1.23273,0.000420926,0.000420926,0.000420926
10,95.998,0.73068,1.65474,1.07438,0.01681,1,0.77389,0.62762,0.6821,3.51137,1.12217,0.000457997,0.000457997,0.000457997
11,104.759,0.62108,1.57659,1.0013,0.87561,0.33333,0.77389,0.62383,0.68743,3.31336,1.04516,0.000492805,0.000492805,0.000492805
12,113.676,0.65904,1.43902,0.9838,0.89212,0.46473,0.77389,0.63489,0.77172,3.15281,1.15223,0.000525349,0.000525349,0.000525349
13,122.807,0.6873,1.57149,1.03032,0.02073,1,0.77389,0.62846,0.82694,3.14258,1.33225,0.000555629,0.000555629,0.000555629
14,131.703,0.69588,1.44515,1.01845,0.004,1,0.77389,0.62845,0.79475,3.12579,1.23784,0.000583646,0.000583646,0.000583646
15,140.539,0.68558,1.55219,1.03117,0.39464,1,0.995,0.78509,0.8424,3.19145,1.20895,0.0006094,0.0006094,0.0006094
16,149.771,0.65096,1.50933,0.97161,0.59277,1,0.77389,0.58609,0.93128,3.19178,1.26476,0.00063289,0.00063289,0.00063289
17,158.568,0.6414,1.40748,1.01174,0.00367,1,0.74639,0.52865,0.91821,3.42122,1.29939,0.000654116,0.000654116,0.000654116
18,167.28,0.70408,1.57887,1.04063,0.00361,1,0.66389,0.51039,0.8439,3.42887,1.27787,0.000673079,0.000673079,0.000673079
19,176.179,0.65471,1.43583,1.00478,0.48631,0.12521,0.68589,0.56153,0.80838,3.29846,1.25398,0.000689778,0.000689778,0.000689778
20,185.177,0.6512,1.29833,1.02919,1,0.20024,0.78517,0.62662,0.85448,3.16234,1.33352,0.000704214,0.000704214,0.000704214
21,193.828,0.62743,1.25169,0.99848,0.00389,1,0.74583,0.47102,1.04698,3.39264,1.55629,0.000716386,0.000716386,0.000716386
22,202.532,0.58761,1.35492,1.0263,0.00384,1,0.57478,0.34802,0.97826,3.43266,1.40355,0.000726295,0.000726295,0.000726295
23,211.302,0.67719,1.25384,1.0249,0.794,0.53889,0.72917,0.57034,0.78778,3.2125,1.2003,0.00073394,0.00073394,0.00073394
24,220.273,0.62752,1.2067,0.97508,0.85078,0.92809,0.995,0.84956,0.84344,2.7971,1.22044,0.000739322,0.000739322,0.000739322
25,229.387,0.57123,1.24203,0.99818,0.63271,0.99331,0.77389,0.58605,0.89171,2.42355,1.28125,0.00074244,0.00074244,0.00074244
26,239.078,0.62359,1.25641,0.98453,0.82743,0.86361,0.995,0.80163,0.91156,2.47597,1.30635,0.000721645,0.000721645,0.000721645
27,248.113,0.60819,1.14277,0.98117,0.90264,0.80983,0.995,0.82468,0.86461,2.52408,1.31189,0.000693351,0.000693351,0.000693351
28,257.574,0.58759,1.09587,1.0003,0.94458,0.805,0.995,0.85142,0.77163,2.3917,1.17873,0.000665057,0.000665057,0.000665057
29,266.144,0.64028,1.17887,1.01077,0.92849,0.81239,0.995,0.86794,0.76845,2.0931,1.13149,0.000636762,0.000636762,0.000636762
30,274.811,0.63894,1.11423,0.98941,0.85111,0.97162,0.995,0.84131,0.81245,1.89818,1.16084,0.000608468,0.000608468,0.000608468
31,283.464,0.61693,1.09348,0.97716,0.9442,0.80994,0.995,0.85596,0.78137,1.93553,1.14808,0.000580174,0.000580174,0.000580174
32,292.2,0.55091,1.01647,0.96406,0.84661,0.78868,0.995,0.82653,0.85059,2.04051,1.2474,0.00055188,0.00055188,0.00055188
33,300.974,0.55088,1.0241,0.99018,0.67826,0.79388,0.995,0.82653,0.85097,2.13448,1.25326,0.000523586,0.000523586,0.000523586
34,309.852,0.63727,1.11158,0.98634,0.71605,0.7878,0.995,0.82653,0.85198,2.12255,1.26204,0.000495291,0.000495291,0.000495291
35,318.581,0.50678,0.99571,0.92777,0.72598,0.78717,0.995,0.83478,0.87809,2.06025,1.31214,0.000466997,0.000466997,0.000466997
36,327.375,0.61493,0.98438,0.96618,0.69069,0.84461,0.77389,0.60542,0.88058,2.04804,1.30104,0.000438703,0.000438703,0.000438703
37,336.27,0.60468,1.10066,0.99094,0.7765,0.85022,0.995,0.84956,0.88608,1.79198,1.28673,0.000410409,0.000410409,0.000410409
38,345.377,0.60583,1.01849,0.99994,0.94308,0.87861,0.995,0.83291,0.88578,1.60006,1.29255,0.000382115,0.000382115,0.000382115
39,354.178,0.54436,1.05162,0.95476,0.91702,0.86175,0.995,0.83291,0.8777,1.5581,1.3102,0.00035382,0.00035382,0.00035382
40,363.048,0.56229,0.95853,0.98658,0.79753,0.8144,0.995,0.83466,0.86153,1.72043,1.28689,0.000325526,0.000325526,0.000325526
41,371.757,0.52521,1.22794,1.01103,0.75491,0.80746,0.82917,0.67547,0.81928,1.94581,1.21589,0.000297232,0.000297232,0.000297232
42,380.546,0.51216,1.214,0.97134,0.71338,0.82818,0.77389,0.62393,0.80833,2.20248,1.16608,0.000268938,0.000268938,0.000268938
43,389.066,0.49829,1.20801,0.96562,0.77703,0.81854,0.82917,0.70211,0.79061,2.1356,1.14169,0.000240644,0.000240644,0.000240644
44,397.528,0.48157,1.20487,0.99987,0.87589,0.87582,0.995,0.86794,0.7889,1.89687,1.13598,0.000212349,0.000212349,0.000212349
45,406.142,0.47307,1.17888,0.92668,0.92841,0.97677,0.995,0.86794,0.79215,1.75055,1.13329,0.000184055,0.000184055,0.000184055
46,414.719,0.45905,1.19086,0.94829,0.95774,1,0.995,0.86794,0.77472,1.58717,1.11212,0.000155761,0.000155761,0.000155761
47,423.383,0.45496,1.17979,0.91207,0.95985,1,0.995,0.86794,0.75724,1.45101,1.08796,0.000127467,0.000127467,0.000127467
48,432.071,0.45453,1.20646,0.9553,0.95833,1,0.995,0.89924,0.75137,1.37126,1.07233,9.91726e-05,9.91726e-05,9.91726e-05
49,440.866,0.4738,1.14831,0.95513,0.96625,1,0.995,0.84117,0.75456,1.33984,1.06997,7.08784e-05,7.08784e-05,7.08784e-05
50,449.859,0.46814,1.14209,0.92356,0.96108,1,0.995,0.84117,0.756,1.33599,1.06608,4.25842e-05,4.25842e-05,4.25842e-05
